a,b,n,spread_median,spread_std,robust_sigma,opportunity_share,opportunity_share_oos,adf_stat,adf_p,half_life_is,half_life_oos,theta_is,theta_oos,reversion_yield,p_bh,discovery
ASTRA_RN,MASSENGL_G8,14903,0.09999999999999964,15.409269805007252,2.372159999999999,0.28805598159509205,0.18429881458286737,-17.899712600292528,2.9565091300052967e-30,6.458195688788304,6.750883552194344,0.10732830251075817,0.10267503137935788,0.3673100219180672,1.8674806632183233e-27,True
MARIAH_ALL,MASSENGL_G8,14903,0.09999999999999964,15.409269805007252,2.372159999999999,0.28805598159509205,0.18429881458286737,-17.899712600292528,2.9565091300052967e-30,6.458195688788304,6.750883552194344,0.10732830251075817,0.10267503137935788,0.3673100219180672,1.8674806632183233e-27,True
HRNT_SLR_RN,MASSENGL_G8,14903,0.09999999999999787,15.337996762349386,2.3425080000000027,0.28805598159509205,0.1840751509729367,-17.897803232155848,2.9611215590142545e-30,6.4480807921011705,6.744871586713869,0.10749666496254871,0.10276654961457163,0.3632876317042351,1.8674806632183233e-27,True
MASSENGL_G8,PALE_ESS_EN,14903,-0.21000000000000085,12.246789268634293,0.7857780000000016,0.18366564417177914,0.16305077163945425,-17.38568752857793,5.04304052130064e-30,7.234448188226713,7.060642827639445,0.09581203189594582,0.09817054869941386,0.10861616249858157,1.9082865332601624e-27,True
AEEC,MASSENGL_G8,14903,0.21000000000000085,12.246789268634293,0.7857780000000016,0.18366564417177914,0.1628271080295236,-17.38568752857793,5.04304052130064e-30,7.234448188226713,7.032745751532562,0.09581203189594582,0.098559965772813,0.10861616249858157,1.9082865332601624e-27,True
MIAM1_G1_G2,MISAE_GEN_RN,14903,-0.09000000000000252,0.9454952320105189,0.2965200000000029,0.0,0.0,-16.60188499343532,1.761549183619317e-29,8.034464658206208,7.54942593367221,0.08627173185110493,0.09181455472903527,0.0369060058901553,3.782933275199655e-27,True
MISAE_GEN_RN,SLTFRK_UN1_2,14903,0.09000000000000252,0.9454952320105189,0.2965200000000029,0.0,0.0,-16.60188499343532,1.761549183619317e-29,8.034464658206208,7.54942593367221,0.08627173185110493,0.09181455472903527,0.0369060058901553,3.782933275199655e-27,True
MISAE_GEN_RN,PH1_UNIT1_2,14903,0.10999999999999943,1.1261824164046472,0.3558240000000003,0.01763803680981595,0.0029076269290986357,-16.590852536309164,1.799492572769392e-29,8.067608494163945,7.570282481751623,0.0859173051172926,0.09156160053879045,0.044105263692133925,3.782933275199655e-27,True
MISAE_GEN_RN,PH2_U1_U2,14903,0.10999999999999943,1.1261824164046472,0.3558240000000003,0.01763803680981595,0.0029076269290986357,-16.590852536309164,1.799492572769392e-29,8.067608494163945,7.570282481751623,0.0859173051172926,0.09156160053879045,0.044105263692133925,3.782933275199655e-27,True
DC2SES_ALL,HLSES_UNIT5,14903,0.010000000000001563,2.507510844510004,0.35582399999999764,0.04812116564417178,0.12994855736971594,-16.386756118386504,2.7183931407593565e-29,5.949738827039641,5.434436054531951,0.11650043820576043,0.12754721439438182,0.059804978057674145,4.332798986512737e-27,True
DC2SES_ALL,HLSES_UNIT4,14903,0.010000000000001563,2.507510844510004,0.35582399999999764,0.04812116564417178,0.12994855736971594,-16.386756118386504,2.7183931407593565e-29,5.949738827039641,5.434436054531951,0.11650043820576043,0.12754721439438182,0.059804978057674145,4.332798986512737e-27,True
DC2SES_ALL,HLSES_UNIT3,14903,0.010000000000001563,2.503610935044582,0.35582399999999764,0.04812116564417178,0.12994855736971594,-16.38160468106516,2.748075467132814e-29,5.9508855804891345,5.434436054531951,0.11647798822288427,0.12754721439438182,0.05979345345953545,4.332798986512737e-27,True
BRANDON_RN,MASSENGL_G7,14903,0.010000000000001563,1.9588485315603947,0.11860800000001327,0.047450153374233126,0.019906061283829123,-15.965199454476029,7.104970241601312e-29,6.313800937229332,6.311096364076852,0.1097828689011721,0.10982991552868399,0.018785514649446913,9.601859783649773e-27,True
BRANDON_RN,MASSENGL_G6,14903,0.010000000000001563,1.9588485315603947,0.11860800000001327,0.047450153374233126,0.019906061283829123,-15.965199454476029,7.104970241601312e-29,6.313800937229332,6.311096364076852,0.1097828689011721,0.10982991552868399,0.018785514649446913,9.601859783649773e-27,True
